Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.2,-0.015,1.74835140148008E-19,0,0,0,0.477988983509361,9.7288351544794E-05,9.39613486142712E-21,-5.10668537218206E-20,0.00990191548728164,-1.23972577531264E-21,0.00987632548326325,0,0,0,0,0,0,package://four_bar_loop/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://four_bar_loop/meshes/base_link.STL,,bar-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link300,0.150000000000002,6.10622663543836E-16,-0.015,0,0,0,0.387988983509361,8.37883515447938E-05,-2.05998412772246E-18,7.64093897891319E-22,0.00495551827184943,2.2134267314846E-21,0.00498110827586782,0,0,0,0,0,0,package://four_bar_loop/meshes/link300.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://four_bar_loop/meshes/link300.STL,,bar-2,Origin_joint1,Axis_joint1,joint1,continuous,0.4,0,0,1.5707963267949,-1.22186923358005,0,base_link,0,0,1,,,,,,,,,,,,
link600,0.299999999999999,-2.77555756156289E-16,0.015,0,0,0,0.657988983509361,0.000124288351544794,5.28616321722464E-17,1.58648778406374E-19,0.0273377746587313,1.0208396151309E-20,0.0273633646627496,0,0,0,0,0,0,package://four_bar_loop/meshes/link600.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://four_bar_loop/meshes/link600.STL,,bar-3,Origin_joint2,Axis_joint2,joint2,fixed,0.300000000000002,0,0,0,0,1.6467688489042,link300,0,0,0,,,,,,,,,,,,
link450,0.225,6.93889390390723E-18,0.015,0,0,0,0.522988983509361,0.000104038351544794,-1.18923425794504E-18,5.47123212578432E-20,0.0132048334330502,-3.20327472669562E-21,0.0132304234370686,0,0,0,0,0,0,package://four_bar_loop/meshes/link450.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://four_bar_loop/meshes/link450.STL,,bar-4,Origin_joint3,Axis_joint3,joint3,fixed,0.599999999999998,0,-0.03,0,0,2.01169536959859,link600,0,0,0,,,,,,,,,,,,
